run,process,baseline,improved,delta,gain_percent
15,N09,293.0288394967285,292.6284993258437,0.4003401708848173,0.1366214231924728
15,N10,293.0288394967285,292.70129992273297,0.3275395739955229,0.11177724846403035
15,N11,293.0288394967285,292.7091965377854,0.31964295894312045,0.10908242324956861
15,N12,293.0288394967285,292.7350490822417,0.2937904144868071,0.10025989762351945
16,N01,290.4301620547298,290.12956690996407,0.3005951447657367,0.10349997487832939
16,N02,290.4301620547298,290.09010908208046,0.340052972649346,0.11708597008091227
16,N03,290.4301620547298,290.4301620547298,0.0,0.0
16,N04,290.4301620547298,290.4301620547298,0.0,0.0
16,N05,290.4301620547298,290.4301620547298,0.0,0.0
16,N06,290.4301620547298,264.64656854252974,25.78359351220007,8.877725829089785
16,N07,290.4301620547298,290.03420817320534,0.39595388152446276,0.13633359521723767
16,N08,290.4301620547298,290.1341480093892,0.2960140453405984,0.10192262513175761
16,N09,290.4301620547298,290.12998118226403,0.3001808724657735,0.1033573339428865
16,N10,290.4301620547298,289.81118073022213,0.6189813245076721,0.21312570296711428
16,N11,290.4301620547298,290.0657572783303,0.3644047763995104,0.12547070656209616
16,N12,290.4301620547298,290.0961993795918,0.33396267513802513,0.11498897799571241
17,N01,293.1135185147176,292.77498913372153,0.33852938099607854,0.11549429132832048
17,N02,293.1135185147176,292.86959859440185,0.24391992031576137,0.0832168784134444
17,N03,293.1135185147176,293.1135185147176,0.0,0.0
17,N04,293.1135185147176,293.1135185147176,0.0,0.0
17,N05,293.1135185147176,293.1135185147176,0.0,0.0
17,N06,293.1135185147176,266.1964465479297,26.917071966787887,9.183156103882103
17,N07,293.1135185147176,292.8125339820775,0.3009845326400864,0.10268531255919319
17,N08,293.1135185147176,292.80185136937513,0.31166714534248285,0.10632984344146981
17,N09,293.1135185147176,292.8464074441358,0.26711107058179095,0.09112888137514509
17,N10,293.1135185147176,292.7693890177158,0.34412949700180206,0.1174048535003079
17,N11,293.1135185147176,292.7166248835404,0.3968936311771927,0.1354061160973932
17,N12,293.1135185147176,292.92247380808914,0.19104470662847461,0.0651777194025536
18,N01,295.52719371847894,295.30637279467743,0.22082092380151153,0.07472101671018029
18,N02,295.52719371847894,295.243484794539,0.2837089239399688,0.0960009535400765
18,N03,295.52719371847894,295.52719371847894,0.0,0.0
18,N04,295.52719371847894,295.52719371847894,0.0,0.0
18,N05,295.52719371847894,295.52719371847894,0.0,0.0
18,N06,295.52719371847894,268.30559187823087,27.22160184024807,9.211200329056533
18,N07,295.52719371847894,295.1733086787691,0.3538850397098372,0.11974703080859297
18,N08,295.52719371847894,295.19926732326536,0.3279263952135807,0.11096318788380789
18,N09,295.52719371847894,295.2538932378892,0.27330048058973944,0.0924789618007496
18,N10,295.52719371847894,295.2255247972081,0.30166892127084566,0.10207822754822941
18,N11,295.52719371847894,295.2060129152397,0.32118080323925824,0.10868062569741622
