run,process,baseline,improved,delta,gain_percent
5,N01,332.5,332.2,0.30000000000001137,0.09022556390977786
5,N02,332.5,332.2,0.30000000000001137,0.09022556390977786
5,N03,332.5,332.2,0.30000000000001137,0.09022556390977786
5,N04,332.5,332.2,0.30000000000001137,0.09022556390977786
5,N05,332.5,332.2,0.30000000000001137,0.09022556390977786
5,N06,332.5,332.05,0.44999999999998863,0.13533834586465823
5,N07,332.5,332.2,0.30000000000001137,0.09022556390977786
5,N08,332.5,332.2,0.30000000000001137,0.09022556390977786
5,N09,332.5,332.2,0.30000000000001137,0.09022556390977786
5,N10,332.5,332.2,0.30000000000001137,0.09022556390977786
5,N11,332.5,332.2,0.30000000000001137,0.09022556390977786
5,N12,332.5,332.2,0.30000000000001137,0.09022556390977786
6,N01,332.5,332.2,0.30000000000001137,0.09022556390977786
6,N02,332.5,332.2,0.30000000000001137,0.09022556390977786
6,N03,332.5,332.2,0.30000000000001137,0.09022556390977786
6,N04,332.5,332.2,0.30000000000001137,0.09022556390977786
6,N05,332.5,332.2,0.30000000000001137,0.09022556390977786
6,N06,332.5,332.05,0.44999999999998863,0.13533834586465823
6,N07,332.5,332.2,0.30000000000001137,0.09022556390977786
6,N08,332.5,332.2,0.30000000000001137,0.09022556390977786
6,N09,332.5,332.2,0.30000000000001137,0.09022556390977786
6,N10,332.5,332.2,0.30000000000001137,0.09022556390977786
6,N11,332.5,332.2,0.30000000000001137,0.09022556390977786
6,N12,332.5,332.2,0.30000000000001137,0.09022556390977786
7,N01,332.5,332.2,0.30000000000001137,0.09022556390977786
7,N02,332.5,332.2,0.30000000000001137,0.09022556390977786
7,N03,332.5,332.2,0.30000000000001137,0.09022556390977786
7,N04,332.5,332.2,0.30000000000001137,0.09022556390977786
7,N05,332.5,332.2,0.30000000000001137,0.09022556390977786
7,N06,332.5,332.05,0.44999999999998863,0.13533834586465823
7,N07,332.5,332.2,0.30000000000001137,0.09022556390977786
7,N08,332.5,332.2,0.30000000000001137,0.09022556390977786
7,N09,332.5,332.2,0.30000000000001137,0.09022556390977786
7,N10,332.5,332.2,0.30000000000001137,0.09022556390977786
7,N11,332.5,332.2,0.30000000000001137,0.09022556390977786
7,N12,332.5,332.2,0.30000000000001137,0.09022556390977786
8,N01,332.5,332.2,0.30000000000001137,0.09022556390977786
8,N02,332.5,332.2,0.30000000000001137,0.09022556390977786
8,N03,332.5,332.2,0.30000000000001137,0.09022556390977786
8,N04,332.5,332.2,0.30000000000001137,0.09022556390977786
8,N05,332.5,332.2,0.30000000000001137,0.09022556390977786
8,N06,332.5,332.05,0.44999999999998863,0.13533834586465823
8,N07,332.5,332.2,0.30000000000001137,0.09022556390977786
8,N08,332.5,332.2,0.30000000000001137,0.09022556390977786
8,N09,332.5,332.2,0.30000000000001137,0.09022556390977786
8,N10,332.5,332.2,0.30000000000001137,0.09022556390977786
8,N11,332.5,332.2,0.30000000000001137,0.09022556390977786
8,N12,332.5,332.2,0.30000000000001137,0.09022556390977786
9,N01,332.5,332.2,0.30000000000001137,0.09022556390977786
9,N02,332.5,332.2,0.30000000000001137,0.09022556390977786
9,N03,332.5,332.2,0.30000000000001137,0.09022556390977786
9,N04,332.5,332.2,0.30000000000001137,0.09022556390977786
9,N05,332.5,332.2,0.30000000000001137,0.09022556390977786
9,N06,332.5,332.05,0.44999999999998863,0.13533834586465823
9,N07,332.5,332.2,0.30000000000001137,0.09022556390977786
9,N08,332.5,332.2,0.30000000000001137,0.09022556390977786
9,N09,332.5,332.2,0.30000000000001137,0.09022556390977786
9,N10,332.5,332.2,0.30000000000001137,0.09022556390977786
9,N11,332.5,332.2,0.30000000000001137,0.09022556390977786
9,N12,332.5,332.2,0.30000000000001137,0.09022556390977786
10,N01,332.5,332.2,0.30000000000001137,0.09022556390977786
10,N02,332.5,332.2,0.30000000000001137,0.09022556390977786
10,N03,332.5,332.2,0.30000000000001137,0.09022556390977786
10,N04,332.5,332.2,0.30000000000001137,0.09022556390977786
10,N05,332.5,332.2,0.30000000000001137,0.09022556390977786
10,N06,332.5,332.05,0.44999999999998863,0.13533834586465823
10,N07,332.5,332.2,0.30000000000001137,0.09022556390977786
10,N08,332.5,332.2,0.30000000000001137,0.09022556390977786
10,N09,332.5,332.2,0.30000000000001137,0.09022556390977786
10,N10,332.5,332.2,0.30000000000001137,0.09022556390977786
10,N11,332.5,332.2,0.30000000000001137,0.09022556390977786
10,N12,332.5,332.2,0.30000000000001137,0.09022556390977786
11,N01,332.5,332.2,0.30000000000001137,0.09022556390977786
11,N02,332.5,332.2,0.30000000000001137,0.09022556390977786
11,N03,332.5,332.2,0.30000000000001137,0.09022556390977786
11,N04,332.5,332.2,0.30000000000001137,0.09022556390977786
11,N05,332.5,332.2,0.30000000000001137,0.09022556390977786
11,N06,332.5,332.05,0.44999999999998863,0.13533834586465823
11,N07,332.5,332.2,0.30000000000001137,0.09022556390977786
11,N08,332.5,332.2,0.30000000000001137,0.09022556390977786
11,N09,332.5,332.2,0.30000000000001137,0.09022556390977786
11,N10,332.5,332.2,0.30000000000001137,0.09022556390977786
11,N11,332.5,332.2,0.30000000000001137,0.09022556390977786
11,N12,332.5,332.2,0.30000000000001137,0.09022556390977786
12,N01,332.5,332.2,0.30000000000001137,0.09022556390977786
12,N02,332.5,332.2,0.30000000000001137,0.09022556390977786
12,N03,332.5,332.2,0.30000000000001137,0.09022556390977786
12,N04,332.5,332.2,0.30000000000001137,0.09022556390977786
12,N05,332.5,332.2,0.30000000000001137,0.09022556390977786
12,N06,332.5,332.05,0.44999999999998863,0.13533834586465823
12,N07,332.5,332.2,0.30000000000001137,0.09022556390977786
12,N08,332.5,332.2,0.30000000000001137,0.09022556390977786
12,N09,332.5,332.2,0.30000000000001137,0.09022556390977786
12,N10,332.5,332.2,0.30000000000001137,0.09022556390977786
12,N11,332.5,332.2,0.30000000000001137,0.09022556390977786
12,N12,332.5,332.2,0.30000000000001137,0.09022556390977786
13,N01,332.5,332.2,0.30000000000001137,0.09022556390977786
13,N02,332.5,332.2,0.30000000000001137,0.09022556390977786
13,N03,332.5,332.2,0.30000000000001137,0.09022556390977786
13,N04,332.5,332.2,0.30000000000001137,0.09022556390977786
13,N05,332.5,332.2,0.30000000000001137,0.09022556390977786
13,N06,332.5,332.05,0.44999999999998863,0.13533834586465823
13,N07,332.5,332.2,0.30000000000001137,0.09022556390977786
13,N08,332.5,332.2,0.30000000000001137,0.09022556390977786
13,N09,332.5,332.2,0.30000000000001137,0.09022556390977786
13,N10,332.5,332.2,0.30000000000001137,0.09022556390977786
13,N11,332.5,332.2,0.30000000000001137,0.09022556390977786
13,N12,332.5,332.2,0.30000000000001137,0.09022556390977786
14,N01,332.5,332.2,0.30000000000001137,0.09022556390977786
14,N02,332.5,332.2,0.30000000000001137,0.09022556390977786
14,N03,332.5,332.2,0.30000000000001137,0.09022556390977786
14,N04,332.5,332.2,0.30000000000001137,0.09022556390977786
14,N05,332.5,332.2,0.30000000000001137,0.09022556390977786
14,N06,332.5,332.05,0.44999999999998863,0.13533834586465823
14,N07,332.5,332.2,0.30000000000001137,0.09022556390977786
14,N08,332.5,332.2,0.30000000000001137,0.09022556390977786
14,N09,332.5,332.2,0.30000000000001137,0.09022556390977786
14,N10,332.5,332.2,0.30000000000001137,0.09022556390977786
14,N11,332.5,332.2,0.30000000000001137,0.09022556390977786
14,N12,332.5,332.2,0.30000000000001137,0.09022556390977786
15,N01,332.5,332.2,0.30000000000001137,0.09022556390977786
15,N02,332.5,332.2,0.30000000000001137,0.09022556390977786
15,N03,332.5,332.2,0.30000000000001137,0.09022556390977786
15,N04,332.5,332.2,0.30000000000001137,0.09022556390977786
15,N05,332.5,332.2,0.30000000000001137,0.09022556390977786
15,N06,332.5,332.05,0.44999999999998863,0.13533834586465823
15,N07,332.5,332.2,0.30000000000001137,0.09022556390977786
15,N08,332.5,332.2,0.30000000000001137,0.09022556390977786
15,N09,332.5,332.2,0.30000000000001137,0.09022556390977786
15,N10,332.5,332.2,0.30000000000001137,0.09022556390977786
15,N11,332.5,332.2,0.30000000000001137,0.09022556390977786
15,N12,332.5,332.2,0.30000000000001137,0.09022556390977786
16,N01,332.5,332.2,0.30000000000001137,0.09022556390977786
16,N02,332.5,332.2,0.30000000000001137,0.09022556390977786
16,N03,332.5,332.2,0.30000000000001137,0.09022556390977786
16,N04,332.5,332.2,0.30000000000001137,0.09022556390977786
16,N05,332.5,332.2,0.30000000000001137,0.09022556390977786
16,N06,332.5,332.05,0.44999999999998863,0.13533834586465823
16,N07,332.5,332.2,0.30000000000001137,0.09022556390977786
16,N08,332.5,332.2,0.30000000000001137,0.09022556390977786
16,N09,332.5,332.2,0.30000000000001137,0.09022556390977786
16,N10,332.5,332.2,0.30000000000001137,0.09022556390977786
16,N11,332.5,332.2,0.30000000000001137,0.09022556390977786
16,N12,332.5,332.2,0.30000000000001137,0.09022556390977786
17,N01,332.5,332.2,0.30000000000001137,0.09022556390977786
17,N02,332.5,332.2,0.30000000000001137,0.09022556390977786
17,N03,332.5,332.2,0.30000000000001137,0.09022556390977786
17,N04,332.5,332.2,0.30000000000001137,0.09022556390977786
17,N05,332.5,332.2,0.30000000000001137,0.09022556390977786
17,N06,332.5,332.05,0.44999999999998863,0.13533834586465823
17,N07,332.5,332.2,0.30000000000001137,0.09022556390977786
17,N08,332.5,332.2,0.30000000000001137,0.09022556390977786
17,N09,332.5,332.2,0.30000000000001137,0.09022556390977786
17,N10,332.5,332.2,0.30000000000001137,0.09022556390977786
17,N11,332.5,332.2,0.30000000000001137,0.09022556390977786
17,N12,332.5,332.2,0.30000000000001137,0.09022556390977786
18,N01,332.5,332.2,0.30000000000001137,0.09022556390977786
18,N02,332.5,332.2,0.30000000000001137,0.09022556390977786
18,N03,332.5,332.2,0.30000000000001137,0.09022556390977786
18,N04,332.5,332.2,0.30000000000001137,0.09022556390977786
18,N05,332.5,332.2,0.30000000000001137,0.09022556390977786
18,N06,332.5,332.05,0.44999999999998863,0.13533834586465823
18,N07,332.5,332.2,0.30000000000001137,0.09022556390977786
18,N08,332.5,332.2,0.30000000000001137,0.09022556390977786
18,N09,332.5,332.2,0.30000000000001137,0.09022556390977786
18,N10,332.5,332.2,0.30000000000001137,0.09022556390977786
18,N11,332.5,332.2,0.30000000000001137,0.09022556390977786
18,N12,332.5,332.2,0.30000000000001137,0.09022556390977786
19,N01,332.5,332.2,0.30000000000001137,0.09022556390977786
19,N02,332.5,332.2,0.30000000000001137,0.09022556390977786
19,N03,332.5,332.2,0.30000000000001137,0.09022556390977786
