run,process,baseline,improved,delta,gain_percent
3,N07,355.98558290338235,355.0006455101673,0.9849373932150343,0.27667901188075783
3,N08,355.98558290338235,355.58006812286135,0.40551478052100265,0.11391325941170571
3,N09,355.98558290338235,355.55681142999504,0.4287714733873145,0.12044630287841934
3,N10,355.98558290338235,355.79713643075326,0.18844647262909575,0.0529365462196939
3,N11,355.98558290338235,355.72177989864616,0.26380300473618945,0.0741049686857088
3,N12,355.98558290338235,355.1352575973792,0.8503253060031284,0.23886509646485157
4,N01,350.31980806821446,349.87393001309806,0.44587805511639544,0.12727743189148294
4,N02,350.31980806821446,349.7343816987297,0.5854263694847646,0.16711198053944185
4,N03,350.31980806821446,349.83892112382256,0.48088694439189794,0.13727084033405823
4,N04,350.31980806821446,347.84190117485065,2.4779068933638086,0.7073270869346073
4,N05,350.31980806821446,349.2950278071912,1.0247802610232384,0.29252706738857676
4,N06,350.31980806821446,346.75882076636407,3.560987301850389,1.0164961329154965
4,N07,350.31980806821446,349.22374957116574,1.0960584970487162,0.31287368621625045
4,N08,350.31980806821446,349.99335154579416,0.3264565224203011,0.09318814263472458
4,N09,350.31980806821446,348.2800446782583,2.0397633899561356,0.582257509560793
4,N10,350.31980806821446,350.2079412825156,0.11186678569885089,0.031932760615428324
4,N11,350.31980806821446,349.5836368271991,0.73617124101537,0.21014262512727294
4,N12,350.31980806821446,350.18882006049114,0.13098800772331742,0.037390979529713424
5,N01,348.36248736718113,347.97780744538915,0.3846799217919852,0.11042518518548891
5,N02,348.36248736718113,348.10656040122916,0.2559269659519714,0.07346570748365888
5,N03,348.36248736718113,348.11005626956154,0.25243109761959204,0.07246219290928547
5,N04,348.36248736718113,347.8767347998515,0.485752567329655,0.13943882735504237
5,N05,348.36248736718113,347.4835696127346,0.8789177544465474,0.25229977001517684
5,N06,348.36248736718113,335.9456959526761,12.416791414505042,3.5643307947268994
5,N07,348.36248736718113,347.67013179721295,0.6923555699681856,0.19874573040306398
5,N08,348.36248736718113,347.55303836963645,0.8094489975446777,0.23235825523644915
5,N09,348.36248736718113,347.57111864453265,0.7913687226484853,0.22716818008431736
5,N10,348.36248736718113,347.8649128021545,0.497574565026639,0.1428324182627004
5,N11,348.36248736718113,348.0847378191012,0.277749548079953,0.07973003929874899
5,N12,348.36248736718113,348.2692357553757,0.09325161180544228,0.02676855723192526
6,N01,332.84618430652887,332.30591926215845,0.5402650443704147,0.16231673062319593
6,N02,332.84618430652887,332.42223013061624,0.42395417591262685,0.12737240079705817
6,N03,332.84618430652887,332.30684429922667,0.5393400073022008,0.16203881334133158
6,N04,332.84618430652887,332.4139573701584,0.43222693637045495,0.12985786130340707
6,N05,332.84618430652887,332.42415577929904,0.422028527229827,0.12679386068646267
6,N06,332.84618430652887,331.2860842503849,1.5601000561439946,0.4687150190393193
6,N07,332.84618430652887,332.44268307847136,0.40350122805750743,0.12122753604587218
6,N08,332.84618430652887,332.0352899974377,0.810894309091168,0.24362433680308893
6,N09,332.84618430652887,332.5492140486447,0.29697025788414066,0.0892214698218235
6,N10,332.84618430652887,332.58625563738514,0.2599286691437328,0.07809272913411441
6,N11,332.84618430652887,332.6693926948049,0.17679161172395652,0.05311510843733855
6,N12,332.84618430652887,332.71041886701835,0.13576543951052145,0.04078924317350462
7,N01,332.2229076494323,331.8218120655575,0.40109558387479183,0.12073086311616876
7,N02,332.2229076494323,331.79447932469105,0.42842832474121906,0.12895809255673138
7,N03,332.2229076494323,331.9333047032588,0.28960294617348836,0.08717127552175984
7,N04,332.2229076494323,331.9708548804982,0.2520527689340497,0.0758685699060886
7,N05,332.2229076494323,331.9472649720405,0.2756426773917724,0.08296919659815741
7,N06,332.2229076494323,330.66970322360703,1.5532044258252427,0.46751876227156874
7,N07,332.2229076494323,331.75853074806116,0.46437690137111076,0.1397787120270255
7,N08,332.2229076494323,331.6663941721036,0.5565134773286786,0.16751207232100981
7,N09,332.2229076494323,331.74052595932125,0.4823816901110263,0.14519820247315526
7,N10,332.2229076494323,332.10653593034937,0.11637171908290611,0.03502820437827957
7,N11,332.2229076494323,331.5925824671668,0.6303251822654943,0.18972959653059956
7,N12,332.2229076494323,332.0804050148539,0.14250263457836354,0.042893681109050716
8,N01,341.7509715616325,340.8943353300029,0.8566362316296363,0.25066094990607735
8,N02,341.7509715616325,341.42666974604464,0.3243018155878872,0.0948941897973219
